author,name,type,buy,publisher
Ольга Герун,Праздничная семейная кухня,Новый год,50,АСТ
Влада Юрьева,"Ненавидеть, гнать, терпеть",Книжный развал,420,Эксмо
Юрий Лисянский,"Путешествие вокруг света на корабле ""Нева"". Книга в коллекционном кожаном переплете ручной работы с золоченым обрезом и с портретом автора",Книги в кожаном переплете,20,Эксмо
Хейзел Прайор,Как пингвины спасли Веронику,Новый год,104,АСТ
Александр Елисеев,По белу свету. Путешествия по трем частям Старого света. Книга в коллекционном кожаном переплете ручной работы с золоченым обрезом и с портретом автора,Книги в кожаном переплете,22,Эксмо
Григорий Грумм-Гржимайло,По ступеням «Божьего трона». Книга в коллекционном кожаном переплете ручной работы с золоченым обрезом и с портретом автора,Книги в кожаном переплете,22,Эксмо
Новый год 2022,Набор новогодних наклеек от Татьяны Задорожней (@fevrony),Сувениры. Аксессуары,75,Эксмо
Жулин Александр Вячеславович,Танцы на льду жизни. Я знаю о любви все...,Публицистика,155,Эксмо
Дина Бухольц,Поваренная книга Гарри Поттера,Эксклюзивная продукция,2809,БОМБОРА
Масадзи Исикава,Река во тьме. Мой побег из Северной Кореи,Публицистика,165,ГрандМастер
Джон Стейнбек,Стейнбек. Русский дневник (покет),Публицистика,193,БОМБОРА
Николай Никулин,Воспоминания о войне,Публицистика,721,АСТ
Жан Бодрийяр,Общество потребления,Научно-популярная литература,718,АСТ
Сергей Вялов,Гастро-книга: Пищеварение вдоль и поперек,Научно-популярная литература,1420,АСТ
Макарова Юлия Борисовна,Собибор. Хроника восстания в лагере смерти,Научно-популярная литература,667,Эксмо
Сунь-Цзы,Искусство войны,Научно-популярная литература,694,АСТ
Марк Уолинн,Это началось не с тебя. Как мы наследуем негативные сценарии нашей семьи и как остановить их влияние,Научно-популярная литература,1246,БОМБОРА
Стивен Хокинг,Теория Всего,Научно-популярная литература,227,АСТ
Роберт Колкер,"Что-то не так с Гэлвинами. Идеальная семья, разрушенная безумием",Научно-популярная литература,614,БОМБОРА
Карнеги Дейл,"Искусство завоевывать друзей и оказывать влияние на людей, эффективно общаться и расти как личность",Научно-популярная литература,2067,АСТ
Кинг Ларри,"Как разговаривать с кем угодно, когда угодно и где угодно (Покет серия)",Научно-популярная литература,628,Альпина
Сунь-Цзы,Искусство войны,Научно-популярная литература,640,Эксмо
Эрхардт У.,"Хорошие девочки отправляются на небеса, а плохие - куда захотят... (Покет)",Научно-популярная литература,376,Альпина
Ольга Примаченко,"С тобой я дома. Книга о том, как любить друг друга, оставаясь верными себе",Научно-популярная литература,373,БОМБОРА
Сергей Вялов,"Неотложная помощь. Книга, которая спасает жизни",Научно-популярная литература,195,АСТ
Борис Акунин,После тяжелой продолжительной болезни. Время Николая II,Научно-популярная литература,459,АСТ
Даниэль Канеман,Думай медленно... решай быстро,Научно-популярная литература,2889,АСТ
Рон Хэлл,Гонка века. Самая громкая авантюра столетия (кинообложка),Научно-популярная литература,641,БОМБОРА
Марк Мэнсон,Тонкое искусство пофигизма: Парадоксальный способ жить счастливо,Научно-популярная литература,2387,Альпина
Бурханова-Хабадзе Саша,Алхимическое воображение. Как открыть в себе внутреннего художника,Научно-популярная литература,198,Эксмо
Эрих Фромм,Иметь или быть?,Научно-популярная литература,2234,АСТ
Екатерина Суратова,Телесная психология: услышать тело — исцелить душу,Научно-популярная литература,596,АСТ
Вероника Хлебова,Сепарация: как перестать зависеть от других людей,Научно-популярная литература,435,АСТ
Екатерина Шульман,Практическая политология. Пособие по контакту с реальностью,Научно-популярная литература,493,АСТ
Эгер Эдит Ева,Выбор. О свободе и внутренней силе человека,Научно-популярная литература,517,МИФ
Дмитриева Вика Дмитриевна,"Это же любовь! Книга, которая помогает семьям",Научно-популярная литература,4075,Эксмо
Решма Сауджани,Программируй! Самоучитель для девочек,Научно-популярная литература,75,БОМБОРА
Елена Крышилович,Химия,Учебная литература,677,Эксмо
Мошенский Сергей,Больше чем деньги: Финансовая история человечества от Вавилона до Уолл-стрит,Научно-популярная литература,24,Альпина
Матвиенко Анатолий Евгеньевич,Всемирная история полиции,Научно-популярная литература,75,Эксмо
Валерий Тишков,Национальная идея России,Научно-популярная литература,24,АСТ
Карл Маркс,Принципы коммунизма с комментариями,Научно-популярная литература,35,АСТ
Сэмюел Грин,Кто здесь власть?,Научно-популярная литература,45,Corpus
Вячеслав Никонов,1612-й. Как Нижний Новгород Россию спасал,Научно-популярная литература,35,Эксмо
Штирнер Макс,Единственный и его собственность,Научно-популярная литература,75,АСТ
Дмитрий Лихачев,От мысли к слову,Научно-популярная литература,75,АСТ
Платон,Диалоги. Апология Сократа,Научно-популярная литература,82,АСТ
Жюль Анри Пуанкаре,Теорема века. Мир с точки зрения математики,Научно-популярная литература,50,Родина
Игорь Гусев,Математика для каждого образованного человека,Научно-популярная литература,65,АСТ
Стюарт И.,Величайшие математические задачи + покет,Научно-популярная литература,50,Альпина
Краеведение. Страноведение,Города под водой,Научно-популярная литература,20,Краеведение. Страноведение
Общие вопросы,Эпоха человека. Риторика и апатия антропоцена,Научно-популярная литература,20,Общие вопросы
Илья Леенсон,Химические элементы за 60 секунд,Научно-популярная литература,50,АСТ
Александр Ферсман,Занимательная минералогия,Научно-популярная литература,20,Общие вопросы
Кутепова Н.,Тайны закрытых городов,Научно-популярная литература,20,Краеведение. Страноведение
Элементы,Научные опыты с периодической таблицей,Научно-популярная литература,30,АСТ
Анна Кочетова,Вселенная за 60 секунд,Научно-популярная литература,38,АСТ
Ковзун Дмитрий Юрьевич,Увлекательная химия: иллюстрированный путеводитель,Научно-популярная литература,63,Эксмо
Теодор Грэй,Элементы. Путеводитель по периодической таблице,Научно-популярная литература,75,Corpus
Сэм Кин,Исчезающая ложка или Удивительные истории из жизни периодической таблицы Менделеева,Научно-популярная литература,40,Эксмо
Элементы,Эксперименты. Опыты с периодической таблицей,Научно-популярная литература,16,АСТ
Химические науки,Наглядная биохимия,Научно-популярная литература,24,Химические науки
Устынюк Ю.,Лекции по органической химии. Часть 1. Вводный концентр,Научно-популярная литература,21,Химические науки
Аркадий Курамшин,Жизнь замечательных устройств,Научно-популярная литература,138,АСТ
Книжное дело,Напишите мою книгу! Все тонкости работы с наемным писателем,Научно-популярная литература,20,Книжное дело
Книжное дело,Русские книжные редкости. Опыт библиографического описания редких книг с указанием их ценности,Научно-популярная литература,20,Книжное дело
Танцевова Анастасия Владимировна,"""Записная книжка"" Страны Советов: страницы истории журнала ""Огонек"" в 1920-е годы",Научно-популярная литература,20,Книжное дело
Арчер Джеффри,Код бестселлера,Научно-популярная литература,20,Азбука 
Вендиг Чак,250 дерзких советов писателю,Научно-популярная литература,21,Альпина
Соломатина О.,Как писать о любви,Научно-популярная литература,24,Альпина
Крон Л.,"С первой фразы: Как увлечь читателя, используя когнитивную психологию (обложка)",Научно-популярная литература,50,Альпина
Джеффри Дивер,"Во всем виновата книга. Рассказы о книжных тайнах и преступлениях, связанных с книгами",Научно-популярная литература,20,Книжное дело
Краеведение. Страноведение,В окрестностях Каргополя. Памятники древнего зодчества,Научно-популярная литература,20,Краеведение. Страноведение
МИФ. Маркетинг,Пишем убедительно. Сам себе коперайтер,Научно-популярная литература,24,МИФ
Краеведение. Страноведение,"Гик в Японии: вдохновляющий гид по миру аниме, манги, дзена и каваий",Научно-популярная литература,20,Краеведение. Страноведение
Краеведение. Страноведение,Петровский Петербург. Город на островах,Научно-популярная литература,20,Краеведение. Страноведение
Краеведение. Страноведение,Ресурсный потенциал России. Учебное пособие,Научно-популярная литература,20,Краеведение. Страноведение
Носов Сергей,Тайная жизнь петербургских памятников. Полная версия,Научно-популярная литература,20,Краеведение. Страноведение
Краеведение. Страноведение,Чжухай,Научно-популярная литература,20,Краеведение. Страноведение
Краеведение. Страноведение,Ростов Великий. Троице-Сергиева лавра,Научно-популярная литература,20,Краеведение. Страноведение
Краеведение. Страноведение,Открывая Москву: прогулки по самым красивым московским зданиям,Научно-популярная литература,20,Краеведение. Страноведение
Краеведение. Страноведение,"И вкус, и цвет, и аромат",Научно-популярная литература,20,Краеведение. Страноведение
Митрофанов А.,Прогулки по старой Москве. Бульварное кольцо. Книга I,Научно-популярная литература,20,Краеведение. Страноведение
Митрофанов А.,Невский проспект,Научно-популярная литература,20,Краеведение. Страноведение
Краеведение. Страноведение,Столица империй и королевств. Равенна: ключи от города,Научно-популярная литература,20,Краеведение. Страноведение
Митрофанов А.,Прогулки по старой Москве. Садовое кольцо. Книга I,Научно-популярная литература,20,Краеведение. Страноведение
Митрофанов А.,Прогулки по старой Москве. Садовое кольцо. Книга II,Научно-популярная литература,20,Краеведение. Страноведение
Краеведение. Страноведение,По царской дороге. От Балтийской до Речного,Научно-популярная литература,20,Краеведение. Страноведение
Краеведение. Страноведение,Мастера великой державы,Научно-популярная литература,20,Краеведение. Страноведение
Справочники,"Страны и народы мира: энциклопедический справочник / (5 изд) (Справочники). Гарин В., Проценко Э. (Феникс)",Научно-популярная литература,20,Краеведение. Страноведение
Краеведение. Страноведение,Сокольники. Улицы и просеки исторических воспоминаний. Ностальгическая прогулка по четырём маршрутам,Научно-популярная литература,20,Краеведение. Страноведение
Мерчант Джо,Антикитерский механизм: Самое загадочное изобретение Античности,Научно-популярная литература,20,Альпина
Марков Евгений Львович,Русская Армения,Научно-популярная литература,21,Клуб Семейного Досуга
Белый Константин Владимирович,Меж двух столиц. Москва – Санкт-Петербург: места и судьбы,Научно-популярная литература,20,Краеведение. Страноведение
Атлас компактный,Атлас мира. Атлас России,Научно-популярная литература,20,АСТ
МИФ. Креатив,Зачем мы пишем? Известные писатели о своей профессии,Научно-популярная литература,21,МИФ
МИФ. Креатив,Писать профессионально,Научно-популярная литература,18,МИФ
Михаил Ахманов,Как писать книги: 5 элементов литературного творчества,Научно-популярная литература,23,Эксмо
МИФ. Кругозор,"Книга 2.0. Прошлое, настоящее и будущее электронных книг глазами создателя Kindle",Научно-популярная литература,11,МИФ
Бенке Карен,Пиши ещё! Руководство для начинающего писателя,Научно-популярная литература,30,Книжное дело
Уэйланд Кэти Мари,Архитектура сюжета: Как создать запоминающуюся историю,Научно-популярная литература,80,Альпина
Феддэг М.,"Иллюстрация: В чём её смысл? Книга иллюстрированных иллюстраций, иллюстрирующих иллюстрации",Научно-популярная литература,35,Альпина
Элементы. Россия,Игра слов,Научно-популярная литература,20,Corpus
Ирина Глебова,Включи режим Бога: как вдохнуть жизнь в сценарий,Научно-популярная литература,20,БОМБОРА
Александр Молчанов,Пишется! 43 секрета вдохновения,Научно-популярная литература,20,Эксмо
Галина Юзефович,Таинственная карта. Неполный и неокончательный путеводитель по миру книг,Научно-популярная литература,71,АСТ
Вольф Юрген,"Школа литературного и сценарного мастерства: От замысла до результата: рассказы, романы, статьи, нон-фикшн, сце- нарии, новые медиа",Научно-популярная литература,50,Альпина
Александра Сорокина,"Мама, у меня будет книга! Как научиться писать в разных жанрах и найти свой стиль",Научно-популярная литература,75,БОМБОРА
Светлана Зорина,"Книжные люди. Кто создает, продает, продвигает книги в России?",Научно-популярная литература,50,АСТ
Вендиг Чак,250 дерзких советов писателю,Научно-популярная литература,75,Альпина
Джессика Броуди,"Спасите котика! Всё, что нужно для написания романа",Научно-популярная литература,35,БОМБОРА
Лейтем Мартин,Истории торговца книгами,Научно-популярная литература,35,Азбука 
Химические науки,Общая и неорганическая химия,Научно-популярная литература,22,Химические науки
Аркадий Курамшин,Жизнь замечательных веществ,Научно-популярная литература,20,АСТ
Химические науки,Юный химик 100 химических опытов в быту,Научно-популярная литература,20,Химические науки
Химические науки,Современные методы аналитической химии,Научно-популярная литература,20,Химические науки
Теодор Грэй,Реакции,Научно-популярная литература,60,Corpus
Сэм Кин,Исчезающая ложка или Удивительные истории из жизни периодической таблицы Менделеева. 2-е издание исправленное,Научно-популярная литература,50,БОМБОРА
Менделеев Д.И.,Периодический закон,Научно-популярная литература,65,АСТ
Орстрем Ларс,"Химия навсегда. О гороховом супе, опасности утреннего кофе и пробе мистера Марша",Научно-популярная литература,50,Азбука 
Марк Медовник,"Жидкости. Прекрасные и опасные субстанции, протекающие по нашей жизни",Научно-популярная литература,62,МИФ
Аркадий Курамшин,Химические элементы для безнадежных гуманитариев,Научно-популярная литература,50,АСТ
Левицкий Михаил,Карнавал молекул: химия необычная и забавная,Научно-популярная литература,50,Альпина
Джо Шварц,Загадки современной химии. Правда и домыслы,Научно-популярная литература,74,АСТ
Илья Леенсон,Химические элементы. Популярный иллюстрированный гид,Научно-популярная литература,40,АСТ
Максим Биловицкий,ThoiSoi. Химия в опытах и экспериментах: газы и растворы,Научно-популярная литература,138,АСТ
Химические науки,Периодическая таблица химических элементов: наглядное пособие,Научно-популярная литература,75,Эксмо
Анастасия Мартюшева,99 секретов химии,Научно-популярная литература,93,БОМБОРА
Евгения Френкель,"Химия. Самоучитель. Книга для тех, кто хочет сдать экзамены, а также понять и полюбить химию",Научно-популярная литература,304,АСТ
"Все, что должны знать образованные родители","Все что нужно знать, чтобы не быть слабаком в химии в одной большой книге",Научно-популярная литература,75,АСТ
Луис А. Блумфилд,Как все работает,Научно-популярная литература,173,Corpus
Ричард Фейнман,Фейнмановские лекции по физике.Т. V (7),Научно-популярная литература,125,АСТ
Грэм Лоутон,Происхождение (почти) всего на свете,Научно-популярная литература,50,Corpus
Сакина Зейналова,Яды: вокруг и внутри. Путеводитель по самым опасным веществам на планете,Научно-популярная литература,108,БОМБОРА
Пол Халперн,Квантовый лабиринт. Как Ричард Фейнман и Джон Уилер изменили время и реальность,Научно-популярная литература,75,БОМБОРА
Энтони Агирре,Космологические коаны,Научно-популярная литература,75,Corpus
Ричард Фейнман,Фейнмановские лекции по физике.Т. IV (6),Научно-популярная литература,168,АСТ
Ричард Фейнман,Фейнмановские лекции по физике.Т. II (3 – 4),Научно-популярная литература,204,АСТ
Энциклопедия быстрых знаний,"Квантовая физика. Для тех, кто хочет все успеть",Научно-популярная литература,321,Эксмо
Никола Тесла,Власть над миром,Научно-популярная литература,50,Родина
Е. Тульчинский,Качественные задачи по физике в средней школе и не только...,Научно-популярная литература,50,АСТ
Ричард Фейнман,Задачи и упражнения,Научно-популярная литература,99,АСТ
Ричард Фейнман,"Не все ли равно, что думают другие?",Научно-популярная литература,180,АСТ
Стивен Хокинг,Моя краткая история. Автобиография,Научно-популярная литература,175,АСТ
Марио Ливио,φ — Число Бога. Золотое сечение — формула мироздания. 2-е издание,Научно-популярная литература,50,АСТ
Ричард Фейнман,Характер физических законов,Научно-популярная литература,728,АСТ
Гамов Георгий,"Тридцать лет, которые потрясли физику. Один, два, три... бесконечность",Научно-популярная литература,50,АСТ
Виктор Павел Андреевич,Физика. Молекулярное строение вещества и тепловые явления,Научно-популярная литература,76,Эксмо
"Все, что должны знать образованные родители","Все что нужно знать, чтобы не быть слабаком в физике в одной большой книге",Научно-популярная литература,89,АСТ
Виктор Павел Андреевич,Физика. Основы и механическое движение. Просто и понятно о фундаментальной науке,Научно-популярная литература,80,Физические науки
Стивен Хокинг,Природа пространства и времени,Научно-популярная литература,522,АСТ
Ричард Фейнман,Фейнмановские лекции по физике.Т. I (1 – 2),Научно-популярная литература,279,АСТ
Том Джексон,Взламывая научные теории,Научно-популярная литература,50,АСТ
Виктор Павел Андреевич,Физика. Основы электродинамики,Научно-популярная литература,75,Эксмо
Стивен Хокинг,Высший замысел. Новый перевод,Научно-популярная литература,71,АСТ
Ричард Фейнман,Радость познания,Научно-популярная литература,95,АСТ
Яков Перельман,Занимательная физика,Научно-популярная литература,465,АСТ
Стивен Хокинг,Краткая история времени,Научно-популярная литература,45,АСТ
Стивен Хокинг,Кратчайшая история времени,Научно-популярная литература,1235,АСТ
Культурный слой,Пушкин в Михайловском,Научно-популярная литература,20,Краеведение. Страноведение
Бетехтин Анатолий Георгиевич,Курс минералогии: учебное пособие,Научно-популярная литература,20,Общие вопросы
Стивен Хокинг,Теория Всего,Научно-популярная литература,1378,АСТ
Ирина Касаткина,Корея: коротко о главном,Научно-популярная литература,45,АСТ
География,Океаны. Иллюстрированный атлас,Научно-популярная литература,20,География
Удивительная наука,Автостопом по науке : 70 фактов из истории великих открытий,Научно-популярная литература,24,АСТ
Плескачевская Инесса,Удивительный Китай,Научно-популярная литература,24,АСТ
Юлия Добрыня,Планета Земля. От форм и размеров до географических открытий,Научно-популярная литература,30,БОМБОРА
Уилл Уильямс,География на ладони: краткий курс по устройству планеты,Научно-популярная литература,72,Эксмо
Короновский Николай Владимирович,Планета Земля. Иллюстрированный гид,Научно-популярная литература,50,АСТ
Стивен Боун,Северная экспедиция Витуса Беринга,Научно-популярная литература,75,Эксмо
Карта в пластике,Федеративное устройство России. Физическая карта России А1,Научно-популярная литература,50,АСТ
Александр Никонов,"Климат, или Что рулит судьбой цивилизаций",Научно-популярная литература,50,АСТ
География,Страны мира. Современный справочник,Научно-популярная литература,21,География
Сергей Шаргунов,Саров: Два подвига,Научно-популярная литература,21,Краеведение. Страноведение
Валерия Черепенчук,Гербы стран мира. Большая энциклопедия геральдики,Научно-популярная литература,60,Эксмо
Атлас компактный,Атлас мира,Научно-популярная литература,57,АСТ
Том Джексон,Взламывая планету Земля,Научно-популярная литература,63,АСТ
New Scientist. Лучшее от экспертов журнала,"Планета Земля. Познакомьтесь с миром, который мы называем домом",Научно-популярная литература,50,АСТ
Робин Уолл Киммерер,"Голос земли. Легендарный бестселлер десятилетия о сокровенных знаниях индейских племен, научных исследованиях и мистической связи человека с природой",Научно-популярная литература,35,БОМБОРА
Жюль Верн,Всеобщая история географических открытий,Научно-популярная литература,338,Эксмо
Хэлфорд Маккиндер,Географическая ось истории,Научно-популярная литература,45,АСТ
Пол Оффит,"Ящик Пандоры. Семь историй о том, как наука может приносить нам вред",Научно-популярная литература,50,МИФ
Всеволод Овчинников,Сакура и дуб. Ветка сакуры; Корни дуба,Научно-популярная литература,75,АСТ
Брайан Фейган,"Малый ледниковый период: Как климат изменил историю, 1300–1850",Научно-популярная литература,75,БОМБОРА
Лев Гумилев,Этногенез и биосфера Земли,Научно-популярная литература,138,АСТ
Борис Жуков,Введение в поведение,Научно-популярная литература,143,Corpus
Алистер Макграт,"КТО ИЗОБРЕЛ ВСЕЛЕННУЮ? Страсти по божественной частице в адронном коллайдере и другие истории о науке, вере и сотворении мира",Научно-популярная литература,68,АСТ
Харари Юваль Ной,Homo Deus. Краткая история будущего,Научно-популярная литература,51,Синдбад
Харари Юваль Ной,Ноmo Deus. Краткая история будущего,Научно-популярная литература,53,Синдбад
Сверкер Йоханссон,"Рассвет языка. Путь от обезьяньей болтовни к человеческому слову: история о том, как мы начали говорить",Научно-популярная литература,24,БОМБОРА
